一 ichi "one; best"
簡潔 kanketsu "brevity, conciseness, simplicity"
清潔 seiketsu "clean, hygienic, sanitary; pure, virtuous, immaculate"
高潔 kouketsu "noble, lofty, high-minded, virtuous, upright"
権 ken "right (to do something); authority, power"
政権 seiken "(political) administration, political power"
権利 kenri "right, privilege"
投稿 toukou "contribution (to a newspaper, magazine, etc.), submission, post (on a forum, blog, etc.)"
原稿 genkou "manuscript, copy, draft, notes, contribution"
稿 kou "manuscript, version, draft"
駒 koma "piece (in shogi, chess, etc.); bridge (of a violin, etc.)"
手駒 tegoma "(game pieces, soldiers, etc.) under one's control"
撮影 satsuei "photography (still or motion), photographing, filming, shooting, (video) recording"
撮り dori "takes (e.g. of photographs), exposures"
撮る toru "to take (a photo); to record (video, audio, etc.), to make (a film)"
賛成 sansei "approval, agreement, support, favour, favor"
賛同 sandou "approval, endorsement"
絶賛 zessan "high praise, great admiration, rave reviews"
暫く shibaraku "for a moment, for a minute; for a while, for some time"
暫定 zantei "provisional, temporary, tentative"
暫し shibashi "for a short while, for a brief period, soon, in a short while"
真摯 shinshi "sincere, earnest, serious"
賜物 tamamono "gift, boon; (good) result, fruit (e.g. of one's efforts)"
恩賜 onshi "Imperial gift"
下賜 kashi "grant, bestowal, giving something to someone of low social standing (by a person of very high social standing)"
餌 esa "(animal) feed, fodder, pet food; bait, lure, enticement"
餌食 ejiki "prey, victim"
食餌 shokuji "food (esp. for a medical diet)"
質問 shitsumon "question, inquiry, enquiry"
物質 busshitsu "material, substance; matter"
質 shitsu "quality, value; nature, inherent quality, character"
趣味 shumi "hobby, pastime; tastes, preference, liking"
趣旨 shushi "meaning, point (e.g. of a statement), gist, effect; goal, intent, object, aim, point"
趣向 shukou "plan, idea, design, plot"
成熟 seijuku "maturity, ripeness"
未熟 mijuku "unripe, green; inexperienced, immature, unskilled"
熟 tsukuzuku "deeply, keenly, severely, completely, utterly; intently, carefully, closely, attentively"
潤い uruoi "moisture, damp, wetness; richness, warmth, interest, taste, charm"
利潤 rijun "profit, returns"
潤沢 juntaku "abundant, ample, plentiful, affluent; lustrous, glossy"
遵守 junshu "observance (of laws, rules, etc.), adherence, obeying, following, abiding by, compliance"
遵法 junpou "law observance, obeying the law"
諸国 shokoku "various countries, various regions, various provinces"
諸 sho "various, many, several"
諸々 moromoro "all kinds of things, various things, large number of people"
憧れ akogare "yearning, longing, aspiration, adoration, admiration"
憧れる akogareru "to long for, to yearn after, to admire, to be attracted by"
憧憬 doukei "longing, yearning, aspiration, adoration"
衝撃 shougeki "shock, impact, crash"
衝突 shoutotsu "collision, crash, running into; conflict, quarrel, clashing"
衝動 shoudou "impulse, impetus, urge"
賞 shou "prize, award"
鑑賞 kanshou "appreciation (of art, music, poetry, etc.)"
受賞 jushou "winning (a prize)"
沖縄 okinawa "Okinawa (prefecture); Okinawa (city)"
縄文 joumon "straw-rope pattern pressed into earthenware"
縄 nawa "rope, cord; policeman's rope"
委嘱 ishoku "commissioning, entrusting (with), request, appointment (to a position)"
嘱託 shokutaku "commission, entrusting with (work); part-time employee, temporary work"
嘱望 shokubou "(having great) expectation, pinning one's hopes on"
審査 shinsa "judging, inspection, examination, investigation, review"
審議 shingi deliberation
審判 shinpan "refereeing, trial, judgement, judgment, umpire, referee"
地震 jishin earthquake
震災 shinsai "earthquake disaster"
大震災 daishinsai "great earthquake (disaster)"
穂 ho "ear (of plant), head (of plant); point, tip"
稲穂 inaho "ear (head) of rice"
穂先 hosaki "ear (e.g. of wheat); tip (e.g. of brush or spear), spearhead"
申請 shinsei "application, request, petition"
請求 seikyuu "claim, demand, charge, application, request, billing (for a service)"
要請 yousei "appeal, call for something, request, claim, demand; axiom"
潜在 senzai "potentiality, dormancy, latency"
潜入 sennyuu "infiltration, sneaking in"
潜む hisomu "to lurk, to be hidden, to be concealed, to lie dormant, to be latent"
線 sen "line, stripe, stria; line (e.g. telephone line), wire"
放射線 houshasen radiation
無線 musen "radio (communication); wireless, not using wires"
遷移 sen'i transition
変遷 hensen "change, transition, vicissitudes"
遷都 sento "relocation of the capital, transfer of the capital"
選択 sentaku "selection, choice, option"
選手 senshu "player (sports), athlete, team member"
選挙 senkyo election
水槽 suisou "water tank, cistern; fish tank, aquarium"
浴槽 yokusou bathtub
槽 sou "body (of a biwa)"
失踪 shissou "disappearance, running away, going missing, absconding"
冷蔵庫 reizouko "refrigerator, fridge"
内蔵 naizou "internal (e.g. disk), built-in, equipped (with)"
蔵 kura "warehouse, storehouse, cellar, magazine, granary, godown, depository, treasury, elevator"
承諾 shoudaku "consent, approval, acceptance, agreement, compliance"
許諾 kyodaku consent
快諾 kaidaku "ready consent"
誰 dare who
誰か dareka "someone, somebody"
誰々 daredare "so-and-so; who?, which people?"
誕生 tanjou "birth, creation, formation"
生誕 seitan "birth, nativity"
誕生石 tanjouseki birthstone
相談 soudan "consultation, discussion, discussing, asking (somebody) for advice"
冗談 joudan "jest, joke, funny story"
余談 yodan "digression, sequel (of a story)"
鋳造 chuuzou "casting, founding, minting"
鋳型 igata "mold, mould, template"
鋳物 imono "cast metal, casting"
駐車 chuusha "parking (e.g. car)"
駐在 chuuzai "residence, stay, (job) posting, being stationed (overseas, etc.)"
常駐 jouchuu "permanent stationing, staying permanently; resident (program, file, etc.)"
自嘲 jichou "self-deprecation, self-derision, self-mockery, laughing at oneself"
嘲笑 choushou "scorn, sneer"
嘲る azakeru "to scoff, to laugh at, to make fun of, to ridicule, to jeer at"
風潮 fuuchou "tide, current; tendency, trend"
潮 shio "tide, current; sea water"
潮流 chouryuu "tide, tidal current; tendency, drift, trend"
清澄 seichou "clear, serene"
澄ます sumasu "to clear, to make clear; to be unruffled, to look unconcerned, to feign indifference"
澄む sumu "to become clear (water, air, etc.), to become transparent; to resonate clearly (e.g. voice)"
調べ shirabe "investigation, inspection, examination; tune, note, melody"
調査 chousa "investigation, examination, inquiry, enquiry, survey"
調整 chousei "adjustment, regulation, coordination, reconciliation, tuning, fixing, tailoring"
墜落 tsuiraku "fall, crash (e.g. aircraft)"
撃墜 gekitsui "shooting down (aircraft)"
失墜 shittsui "abasement, fall, forfeiture, sinking (in people's estimation)"
締め shime "tie up, bind, fastening, tightening; sum, total amount, total"
締め切り shimekiri "deadline, closing, cut-off, end; cofferdam"
取締役 torishimariyaku "company director, board member"
素敵 suteki "lovely, wonderful, nice, great, fantastic, superb, cool"
敵 kataki "rival, opponent, adversary, competitor, enemy (esp. one with which there is longstanding enmity), foe; revenge"
匹敵 hitteki "to be a match for, to rival, to equal, to compare with, to be equivalent to"
徹底的 tetteiteki "thorough, exhaustive, complete"
徹底 tettei "thoroughness, completeness, consistency; thorough enforcement, seeing to it that a policy, etc. is carried out without exception"
徹夜 tetsuya "staying up all night"
撤退 tettai "evacuation, withdrawal, revocation, repeal, retreat"
撤去 tekkyo "withdrawal, revocation, repeal; demolition, removal"
撤収 tesshuu "removal (e.g. of a building), dismantling (e.g. a tent), striking (e.g. a stage set); withdrawal (of troops), evacuation, retreating"
踏む fumu "to step on, to tread on, to trample on; to set foot on (e.g. foreign soil), to stand on, to visit"
踏み出し fumidashi "rear step out"
足踏み ashibumi "stepping (in place), stamping (up and down), stomping, marking time (for a soldier); standstill, stalemate"
導入 dounyuu "introduction, bringing in, leading in, installation"
指導 shidou "guidance, leadership, instruction, direction, coaching; shido (disciplinary action for a minor infringement of the rules of judo)"
誘導 yuudou "guidance, leading, induction, introduction, incitement, inducement"
熱 netsu "heat; fever, temperature"
熱い atsui "hot (thing); passionate (feelings, etc.), ardent, hot (e.g. gaze)"
熱心 nesshin "zealous, enthusiastic, ardent, fervent, keen, eager"
罵倒 batou "(verbal) abuse, denunciation, disparagement, vilification, scathing criticism"
罵声 basei "shout of abuse, jeers, boos"
罵り nonoshiri "abuse, curse, swearing, insult"
先輩 senpai "senior (at work or school), superior, elder, older graduate, progenitor, old-timer"
後輩 kouhai "junior (at work, school, etc.), younger people, younger student"
輩 tomogara "comrade, fellow"
賠償 baishou "compensation, reparations, indemnity, damages"
箱 hako "box, case, chest, package, pack, crate; car (of a train, etc.)"
ゴミ箱 gomibako "garbage can, rubbish bin, trash can, dustbin"
箱庭 hakoniwa "miniature garden"
箸 hashi chopsticks
割り箸 waribashi "dispensable chopsticks, throwaway chopsticks"
箸休め hashiyasume "entremet, intermezzo"
範囲 han'i "extent, scope, sphere, range, span"
広範囲 kouhan'i "extensive, vast range, wide scope"
範疇 hanchuu category
盤 ban "disk, disc, record, clock face; tray, shallow bowl"
基盤 kiban "foundation, basis, base, footing, infrastructure; bedrock"
中盤 chuuban "middle (stage)"
罷免 himen "dismissal (from a position), discharge"
膝 hiza "knee; lap, knee and thigh (while sitting)"
膝元 hizamoto "near one's knee; (by) one's side, (at) one's hand"
膝枕 hizamakura "laying one's head in someone's lap"
目標 mokuhyou "mark, objective, target"
標準 hyoujun "standard, level, norm"
指標 shihyou "index, indices, indicator"
来賓 raihin "guest, visitor, visitor's arrival"
主賓 shuhin "main guest, guest of honor, guest of honour"
賓客 hinkyaku "guest of honour, guest of honor, privileged guest, visitor"
敷地 shikichi "site, plot, lot, grounds"
屋敷 yashiki "residence, estate, grounds, premises, mansion"
敷居 shikii "threshold (esp. one with grooves for sliding doors), sill"
皮膚 hifu skin
完膚 kanpu "unwounded skin"
賦 fu "poem; narrative (style of the Shi Jing)"
割賦 kappu "allotment, quota, payment in installments, payment in instalments, hire-purchase"
天賦 tenpu "natural (e.g. talent), innate, inborn, inherent"
舞台 butai "stage (theatre, theater); scene or setting (e.g. of novel, play, etc.)"
見舞い mimai "visiting ill or distressed people, writing get-well letters; get-well gifts, get-well letters"
舞 mai "dancing, dance"
噴火 funka "eruption, volcanic eruption"
噴水 funsui "water fountain"
噴出 funshutsu "spewing, gushing, spouting, eruption, effusion"
古墳 kofun "ancient burial mound, barrow, tumulus"
前方後円墳 zenpoukouenfun "keyhole-shaped tumulus (form of ancient Imperial grave)"
墳墓 funbo "grave, tomb"
憤り ikidoori "resentment, indignation, anger"
憤慨 fungai "indignation, resentment"
鬱憤 uppun "resentment, grudge, pent-up anger, frustration, bitterness"
貨幣 kahei "money, currency, coinage"
紙幣 shihei "paper money, note, bill"
幣 hei "staff with plaited paper streamers"
弊社 heisha "our firm, our company"
弊害 heigai "harmful effect, harmful influence, evil practice, abuse, malady"
疲弊 hihei "exhaustion, fatigue; impoverishment, (financial) exhaustion, ruin"
隠蔽 inpei "concealment, suppression, hiding"
遮蔽 shahei "shielding, sheltering, screening, shading, masking"
餅 mochi mochi
桜餅 sakuramochi "rice cake with bean paste wrapped in a preserved cherry leaf"
草餅 kusamochi "rice-flour dumplings mixed with mugwort"
編集 henshuu "editing, compilation"
編 hen "compilation (of a text), editing; volume (of a text)"
再編 saihen "reorganization, reorganisation, reshuffle"
店舗 tenpo "shop, store"
老舗 shinise "old shop, shop of long standing; well-established, first of the kind, veteran"
舗装 hosou "pavement, road surface"
褒美 houbi "reward, prize"
褒める homeru "to praise, to admire, to speak well of someone"
褒貶 houhen "praise and censure, criticism"
暴力 bouryoku "violence, mayhem"
暴走 bousou "acting rashly, running wildly, behaving recklessly, reckless driving, rampage; runaway (process)"
乱暴 ranbou "violence, assault, running riot; rough (e.g. handling), reckless, careless, coarse, rude, unreasonable (e.g. demand), wild (e.g. argument)"
相撲 sumou "sumo wrestling"
大相撲 oozumou "professional sumo wrestling"
撲滅 bokumetsu "eradication, extermination, destruction, suppression"
摩擦 masatsu "friction, rubbing, chafing; discord, friction, strife, conflict"
あん摩 anma "massage (esp. anma, a traditional form of Japanese massage); masseur, masseuse, massager"
摩訶不思議 makafushigi "profound mystery"
魅力 miryoku "charm, fascination, glamour, glamor, attraction, appeal"
魅了 miryou "fascination; to charm, to fascinate, to mesmerize"
